location,sample date,Ammonium,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Dissolved oxygen,Nitrates,Nitrites,Orthophosphate-phosphorus,Total nitrogen,Total phosphorus,Water temperature
Achara,2009-01-15,       0.55,       2.30,       7.00,      10.90,       1.38,       0.00,       0.13,       1.99,       0.13,       6.50
Achara,2009-02-13,       0.09,       3.00,      13.00,      11.70,       0.71,       0.03,       0.01,       1.05,       0.05,       5.50
Achara,2009-03-19,       0.07,       1.70,       5.30,      11.90,       0.62,       0.01,       0.02,       0.90,       0.05,      13.00
Achara,2009-04-17,       0.12,       2.00,       6.00,      11.30,       1.08,       0.03,       0.10,       1.53,       0.13,      16.00
Achara,2009-05-17,       0.21,       2.40,       7.00,       6.50,       1.80,       0.21,       0.23,       2.85,       0.32,      21.00
Achara,2009-07-18,       0.15,       2.35,       7.50,       6.45,       1.89,       0.13,       0.19,       2.75,       0.26,      21.00
Achara,2009-08-13,       0.09,       2.30,       8.00,       6.40,       1.98,       0.06,       0.15,       2.64,       0.20,      21.00
Achara,2009-10-09,       0.13,       2.10,       7.00,       8.70,       1.98,       0.04,       0.14,       2.70,       0.28,      17.00
Achara,2009-10-12,       0.23,       2.70,       5.00,      11.80,       0.99,       0.01,       0.07,       1.26,       0.11,       6.00
Achara,2009-11-07,       0.04,       2.40,       8.00,       7.10,       0.26,       0.05,       0.13,       0.90,       0.17,      22.00
Achara,2009-11-10,       0.03,       1.20,       6.00,       9.20,       1.70,       0.03,       0.12,       2.14,       0.16,      17.00
Achara,2009-11-19,       0.39,       2.70,       5.00,      11.50,       1.78,       0.02,       0.23,       2.80,       0.28,       8.00
Achara,2009-12-06,       0.02,       2.20,       7.00,       9.00,       1.11,       0.03,       0.11,       1.26,       0.20,      26.00
Achara,2010-01-16,       0.45,       2.00,       7.00,      12.50,       0.99,       0.02,       0.20,       1.82,       0.24,       4.00
Achara,2010-02-20,       0.06,       1.00,       5.00,      14.30,       0.74,       0.01,       0.10,       0.96,       0.12,       5.00
Achara,2010-02-21,       0.06,       1.37,       5.33,      13.53,       0.97,       0.01,       0.09,       1.86,       0.13,       5.33
Achara,2010-03-13,       0.53,       1.73,       5.67,      12.77,       2.05,       0.09,       0.16,       2.76,       0.33,       5.67
Achara,2010-03-19,       0.02,       2.10,       6.00,      12.00,       1.09,       0.02,       0.10,       1.48,       0.12,       6.00
Achara,2010-03-31,       0.15,       1.95,       7.00,      11.10,       1.37,       0.05,       0.20,       1.98,       0.20,       8.50
Achara,2010-04-16,       0.28,       1.80,       8.00,      10.20,       1.65,       0.08,       0.29,       2.47,       0.29,      11.00
Achara,2010-05-15,       0.09,       2.10,       8.00,       8.85,       0.82,       0.05,       0.09,       1.18,       0.15,      15.50
Achara,2010-05-20,       0.22,       2.40,       8.00,       7.50,       1.12,       0.10,       0.15,       1.89,       0.36,      20.00
Achara,2010-06-17,       0.05,       2.90,       9.00,       8.00,       1.07,       0.04,       0.11,       1.54,       0.17,      18.00
Achara,2010-06-30,       0.01,       2.67,       8.25,       7.88,       0.85,       0.02,       0.09,       1.40,       0.13,      19.00
Achara,2010-07-04,       0.02,       2.45,       7.50,       7.75,       1.00,       0.01,       0.14,       1.57,       0.14,      20.00
Achara,2010-07-08,       0.05,       2.23,       6.75,       7.62,       1.39,       0.09,       0.18,       2.14,       0.30,      21.00
Achara,2010-07-16,       0.09,       2.00,       6.00,       7.50,       1.77,       0.16,       0.22,       2.71,       0.45,      22.00
Achara,2010-08-04,       0.07,       2.00,       5.83,       7.88,       1.13,       0.02,       0.16,       1.59,       0.16,      20.83
Achara,2010-08-07,       0.09,       2.00,       5.67,       8.27,       0.97,       0.06,       0.11,       1.46,       0.20,      19.67
Achara,2010-08-08,       0.09,       2.00,       5.50,       8.65,       1.37,       0.11,       0.28,       1.92,       0.38,      18.50
Achara,2010-08-18,       0.10,       2.00,       5.33,       9.03,       1.78,       0.16,       0.45,       2.37,       0.55,      17.33
Achara,2010-09-09,       0.04,       2.00,       5.17,       9.42,       2.15,       0.14,       0.16,       2.97,       0.58,      16.17
Achara,2010-09-17,       0.11,       2.00,       5.00,       9.80,       2.17,       0.04,       0.27,       2.62,       0.82,      15.00
Achara,2010-10-04,       0.03,       2.11,       5.71,       9.87,       1.69,       0.02,       0.25,       2.52,       0.25,      14.71
Achara,2010-10-12,       0.15,       2.23,       6.43,       9.94,       0.93,       0.04,       0.21,       1.56,       0.22,      14.43
Achara,2010-10-13,       0.09,       2.34,       7.14,      10.01,       2.22,       0.03,       0.33,       3.61,       0.45,      14.14
